City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
240,Homer,59.6425,-151.5483,48.0,53,1,3.44,US,clear sky
241,Verkhoyansk,67.5447,133.385,10.2,96,100,3.89,RU,overcast clouds
242,Whitefish,48.4111,-114.3376,57.99,47,1,12.66,US,clear sky
243,Luderitz,-26.6481,15.1594,60.73,86,5,8.95,NA,clear sky
244,Xichang,27.8964,102.2634,59.0,83,56,3.49,CN,broken clouds
245,Touros,-5.1989,-35.4608,86.0,66,20,19.57,BR,few clouds
246,Cabedelo,-6.9811,-34.8339,84.2,74,40,13.8,BR,scattered clouds
247,Sao Luiz Gonzaga,-28.4083,-54.9608,69.28,41,0,6.82,BR,clear sky
248,Freeport,40.6576,-73.5832,62.01,33,20,12.66,US,few clouds
249,Nanortalik,60.1432,-45.2371,35.78,84,6,5.12,GL,clear sky
250,Burns Lake,54.2331,-125.7533,44.6,45,100,2.3,CA,light rain
251,Sao Joao Da Barra,-21.6403,-41.0511,84.2,61,75,1.36,BR,light rain
252,Killybegs,54.6333,-8.45,51.01,76,75,16.11,IE,broken clouds
253,Dongfeng,42.6403,125.5118,43.39,80,6,8.1,CN,clear sky
254,Cayenne,4.9333,-52.3333,78.8,89,75,2.3,GF,broken clouds
255,Ciro Marina,39.3732,17.126,59.0,94,40,5.75,IT,scattered clouds
256,Bireun,5.203,96.7009,77.61,85,100,3.74,ID,overcast clouds
257,Si Bun Ruang,16.9667,102.2833,75.99,99,100,2.91,TH,overcast clouds
258,Menongue,-14.6585,17.691,69.21,44,78,1.83,AO,broken clouds
259,Pathein,16.7833,94.7333,78.66,82,11,4.36,MM,few clouds
260,Presidencia Roque Saenz Pena,-26.7852,-60.4388,73.81,41,0,4.14,AR,clear sky
261,Samarai,-10.6167,150.6667,76.32,92,100,14.34,PG,overcast clouds
262,Sokol,59.4617,40.1206,33.08,86,98,3.98,RU,overcast clouds
263,Morrope,-6.5417,-80.0111,75.2,60,0,13.8,PE,clear sky
264,Olinda,-8.0089,-34.8553,82.4,69,40,11.5,BR,scattered clouds
265,Umm Lajj,25.0213,37.2685,79.84,50,0,7.38,SA,clear sky
266,Sitka,57.0531,-135.33,48.2,57,90,16.11,US,overcast clouds
267,Puksoozero,62.5903,40.6066,31.55,98,100,3.09,RU,light snow
268,Carauari,-4.8828,-66.8958,79.97,90,94,3.53,BR,overcast clouds
269,Innisfail,-17.5333,146.0333,70.0,82,88,5.91,AU,overcast clouds
270,Emilio Carranza,19.9711,-96.6114,88.21,60,12,16.31,MX,few clouds
271,Guderup,54.9898,9.8717,44.6,57,100,8.05,DK,overcast clouds
272,Kundiawa,-6.0167,144.9667,59.63,96,97,3.15,PG,overcast clouds
273,Hjelset,62.7833,7.4833,41.0,75,75,14.97,NO,broken clouds
274,Nikki,9.9401,3.2108,87.46,40,100,5.97,BJ,light rain
275,Umtata,-31.5889,28.7844,59.0,88,75,3.44,ZA,broken clouds
276,Yuli,9.6989,10.2744,89.44,34,50,3.47,NG,scattered clouds
277,Ahipara,-35.1667,173.1667,54.88,86,35,8.75,NZ,scattered clouds
278,Inhambane,-23.865,35.3833,77.0,94,0,13.8,MZ,clear sky
279,Kahului,20.8947,-156.47,75.99,73,1,3.44,US,clear sky
280,Lasa,46.6166,10.7002,59.0,61,75,6.91,IT,broken clouds
281,Saint-Paul,-21.0096,55.2707,75.2,78,90,13.8,RE,moderate rain
282,Chokurdakh,70.6333,147.9167,21.2,92,100,3.62,RU,overcast clouds
283,Benjamin Hill,30.1667,-111.1,73.99,47,90,5.01,MX,overcast clouds
284,Beringovskiy,63.05,179.3167,32.99,97,100,3.31,RU,overcast clouds
285,Mto Wa Mbu,-3.35,35.85,69.22,85,36,1.77,TZ,scattered clouds
286,Fort Nelson,58.8053,-122.7002,12.2,67,90,6.91,CA,light snow
287,San Cristobal,7.7669,-72.225,73.4,100,75,2.3,VE,broken clouds
288,Pangnirtung,66.1451,-65.7125,21.2,79,20,8.05,CA,few clouds
289,Udachnyy,66.4167,112.4,0.72,98,36,5.12,RU,scattered clouds
290,Ancud,-41.8697,-73.8203,59.0,100,90,17.27,CL,light rain
291,Provideniya,64.3833,-173.3,32.38,80,100,6.85,RU,overcast clouds
292,Husavik,66.0449,-17.3389,44.6,57,0,16.11,IS,clear sky
293,Dwarka,22.2394,68.9678,81.18,76,0,7.52,IN,clear sky
294,Marzuq,14.4,46.4667,71.42,73,100,4.34,YE,overcast clouds
295,Cartagena,10.3997,-75.5144,87.8,66,40,20.71,CO,scattered clouds
296,Te Anau,-45.4167,167.7167,34.95,87,89,1.68,NZ,overcast clouds
297,Whitehorse,60.7161,-135.0538,26.6,39,75,6.91,CA,light snow
